,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_max_features,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
166,85.60713922977448,4.941656521952143,0.2407013177871704,0.025770113691742154,entropy,60,16,0.8968743000652876,0.8977511544455088,0.8978321681654204,0.8985994157481141,0.8977642596060827,0.0006112072241658356,1,1.0,1.0,1.0,1.0,1.0,0.0
237,72.70457547903061,1.9467069177092389,0.2195676565170288,0.034038614997843004,entropy,110,14,0.8971221067379588,0.8971935894319986,0.8985755881834341,0.8979465404758841,0.8977094562073189,0.0005952922558473465,2,1.0,1.0,1.0,1.0,1.0,0.0
141,73.9424085021019,1.4989202771283898,0.19187188148498535,0.012480297476347872,entropy,45,14,0.8972984307165902,0.8972936652036542,0.8980752093251557,0.8978845888077163,0.8976379735132791,0.00034850817117315505,3,0.999968229812826,1.0,0.9999555217379563,0.9998363835360536,0.999940033771709,6.199639852444491e-05
205,75.86615258455276,1.6547566455219298,0.2165166735649109,0.021107492590640535,entropy,85,14,0.897060155069791,0.8973174927683342,0.8981085679157076,0.8978416991912924,0.8975819787362813,0.0004144284150460642,4,1.0,1.0,1.0,1.0,1.0,0.0
223,98.90223842859268,0.4090971677192574,0.20978504419326782,0.02068839734408462,entropy,95,18,0.897041093018047,0.8974938167469656,0.8967837553195038,0.8984564503600345,0.8974437788611377,0.0006375331988282315,5,1.0,1.0,1.0,1.0,1.0,0.0
143,95.67945945262909,1.075356030315219,0.22601640224456787,0.04164641006930017,entropy,45,18,0.8966884450607842,0.8977559199584447,0.896731334677208,0.8984278572824186,0.8974008892447138,0.0007308539854585452,6,0.9999952344719238,0.9999968229812826,0.9999602872660325,0.9999539332285976,0.9999765694869591,1.959653417671402e-05
151,93.61750519275665,3.4428680453405938,0.236619234085083,0.07184096937720086,entropy,50,18,0.8969696103240072,0.8975033477728376,0.8967456312160159,0.8983325470236989,0.8973877840841399,0.000610974954031045,7,1.0,1.0,1.0,1.0,1.0,0.0
165,74.7099232673645,0.38004081608460927,0.19495820999145508,0.009869405486983373,entropy,60,14,0.8975510029021974,0.8976129545703652,0.8972078859708065,0.8971745273802546,0.8973865927059059,0.00019696332516458233,8,1.0,1.0,1.0,1.0,1.0,0.0
167,97.41487061977386,3.9397851451548522,0.22495299577713013,0.028436230899171487,entropy,60,18,0.897327023794206,0.8978035750878046,0.8966884450607842,0.8977177958549568,0.8973842099494379,0.00044003003087055557,9,1.0,1.0,1.0,1.0,1.0,0.0
213,69.13485461473465,1.3839691208876523,0.18189799785614014,0.0077985408398276385,entropy,90,14,0.897360382384758,0.8969457827593273,0.8982229402261712,0.8969743758369432,0.8973758703017999,0.0005157374409157717,10,1.0,1.0,1.0,1.0,1.0,0.0
174,85.9212434887886,2.3577694483618123,0.20775830745697021,0.008900350811735841,entropy,65,16,0.8971173412250227,0.8972269480225504,0.8976510786738531,0.8974556926434777,0.8973627651412259,0.000206421536025509,11,1.0,1.0,1.0,1.0,1.0,0.0
158,86.2362853884697,1.4642951161199,0.22182875871658325,0.022332279142202826,entropy,55,16,0.8961070524825939,0.8984373883082906,0.8977368579067008,0.8971411687897026,0.897355616871822,0.000854469891425065,12,1.0,1.0,1.0,1.0,1.0,0.0
207,97.54337108135223,5.876387251833865,0.21286076307296753,0.024219087338092835,entropy,85,18,0.8971649963543826,0.8974604581564136,0.896712272625464,0.8979703680405641,0.897327023794206,0.00045712920467442885,13,1.0,1.0,1.0,1.0,1.0,0.0
220,65.54727739095688,1.5018567606039297,0.20067709684371948,0.003969502235649199,entropy,95,12,0.8960784594049781,0.8977606854713807,0.8974318650787978,0.8978178716266125,0.8972722203954423,0.0007047845634956115,14,1.0,1.0,1.0,1.0,1.0,0.0
